City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,phan thiet,10.93,108.1,75.63,86,57,6.29,VN,1585692795
238,santa isabel do rio negro,-0.41,-65.02,81.68,93,100,0.76,BR,1585692999
239,tawang,27.58,91.87,43.12,29,91,0.89,IN,1585693000
240,xuanzhou,30.95,118.76,47.84,93,94,4.32,CN,1585693000
241,bluff,-46.6,168.33,53.01,98,31,4.07,NZ,1585693000
242,bathsheba,13.22,-59.52,80.6,57,20,14.99,BB,1585693000
243,porbandar,21.64,69.61,73.99,88,0,9.98,IN,1585693000
244,kuusamo,65.97,29.18,28.4,92,75,5.82,FI,1585693001
245,natal,-5.79,-35.21,80.6,88,40,6.93,BR,1585693001
246,khandyga,62.67,135.6,14.14,94,97,4.61,RU,1585692730
247,baruun-urt,46.68,113.28,23.97,60,0,9.62,MN,1585693001
248,hamilton,39.18,-84.53,46.99,65,90,6.93,US,1585692815
249,sestri levante,44.27,9.4,46.4,42,12,9.17,IT,1585693002
250,nichinan,31.6,131.37,59.0,100,75,4.43,JP,1585693002
251,thinadhoo,0.53,72.93,82.76,70,94,10.11,MV,1585693002
252,port lincoln,-34.73,135.87,62.56,76,100,5.64,AU,1585693002
253,torbay,47.67,-52.73,37.99,100,90,4.7,CA,1585693002
254,victoria,22.29,114.16,66.99,100,40,5.82,HK,1585693003
255,juneau,58.3,-134.42,30.2,30,75,16.11,US,1585693003
256,nyurba,63.28,118.33,13.06,94,99,8.52,RU,1585693003
257,miranda,3.25,-76.23,82.4,61,75,10.29,CO,1585693003
258,bismarck,46.81,-100.78,62.01,31,20,19.46,US,1585692888
259,batagay,67.63,134.63,1.9,90,97,1.12,RU,1585693004
260,siena,43.22,11.4,46.0,56,0,13.87,IT,1585693004
261,lensk,60.73,114.93,13.86,92,99,5.28,RU,1585693005
262,tumaco,1.8,-78.82,81.61,76,28,8.1,CO,1585693006
263,ayaviri,-14.89,-70.59,55.71,20,68,10.18,PE,1585693006
264,novoilinsk,51.68,108.71,28.87,72,31,5.66,RU,1585693006
265,frome,51.23,-2.32,43.0,69,63,6.93,GB,1585693006
266,lompoc,34.64,-120.46,82.0,41,77,12.75,US,1585693006
267,havre-saint-pierre,50.23,-63.6,37.4,64,90,31.09,CA,1585693007
268,zhezkazgan,47.8,67.71,38.62,62,100,11.36,KZ,1585693007
269,tawau,4.25,117.89,73.4,94,20,4.54,MY,1585693008
270,kahului,20.89,-156.47,75.2,73,40,14.99,US,1585693008
271,pasighat,28.07,95.33,67.89,50,67,3.22,IN,1585693008
272,barnstaple,51.08,-4.06,45.0,84,16,5.82,GB,1585693008
